file_path,language,extension,loc,method_count,size_bytes
.gitignore,Other,,33,0,331
.pre-commit-config.yaml,YAML,.yaml,108,0,3521
.python-version,Other,,1,0,6
CITATION.cff,Other,.cff,24,0,638
LICENSE,Other,,21,0,1107
pyproject.toml,TOML,.toml,400,0,11981
README.md,Markdown,.md,535,0,23315
uv.lock,Other,.lock,4889,0,847744
.github\dependabot.yml,YAML,.yml,33,0,672
.github\latest-changes.yml,YAML,.yml,15,0,313
.github\pr-push.yml,YAML,.yml,3,0,87
.github\pr-submit.yml,YAML,.yml,6,0,216
docs\language_names.yml,YAML,.yml,183,0,3330
docs\missing-translation.md,Markdown,.md,9,0,354
fastapi\applications.py,Python,.py,4774,32,188614
fastapi\background.py,Python,.py,61,1,1881
fastapi\cli.py,Python,.py,13,1,467
fastapi\concurrency.py,Python,.py,41,1,1530
fastapi\datastructures.py,Python,.py,186,11,5507
fastapi\encoders.py,Python,.py,366,4,12079
fastapi\exceptions.py,Python,.py,256,9,7709
fastapi\exception_handlers.py,Python,.py,34,3,1309
fastapi\logger.py,Python,.py,3,0,57
fastapi\params.py,Python,.py,754,10,26959
fastapi\param_functions.py,Python,.py,2460,9,72056
fastapi\py.typed,Other,.typed,0,0,0
fastapi\requests.py,Python,.py,2,0,144
fastapi\responses.py,Python,.py,98,4,4242
fastapi\routing.py,Python,.py,6447,145,262079
fastapi\sse.py,Python,.py,241,6,7324
fastapi\staticfiles.py,Python,.py,1,0,70
fastapi\templating.py,Python,.py,1,0,77
fastapi\testclient.py,Python,.py,1,0,67
fastapi\types.py,Python,.py,12,0,450
fastapi\utils.py,Python,.py,136,7,4477
fastapi\websockets.py,Python,.py,3,0,225
fastapi\__init__.py,Python,.py,25,0,1106
fastapi\__main__.py,Python,.py,3,0,40
scripts\add_latest_release_date.py,Python,.py,40,1,1063
scripts\deploy_docs_status.py,Python,.py,149,1,4701
scripts\docs.py,Python,.py,919,43,33323
scripts\doc_parsing_utils.py,Python,.py,733,20,24854
scripts\format.sh,Shell,.sh,5,0,124
scripts\general-llm-prompt.md,Markdown,.md,518,0,15705
scripts\label_approved.py,Python,.py,60,0,2305
scripts\lint.sh,Shell,.sh,9,0,143
scripts\notify_translations.py,Python,.py,433,7,13394
scripts\prepare_release.py,Python,.py,216,9,6883
scripts\sponsors.py,Python,.py,222,5,6467
scripts\test-cov-html.sh,Shell,.sh,6,0,116
scripts\test-cov.sh,Shell,.sh,6,0,93
scripts\test.sh,Shell,.sh,7,0,131
scripts\topic_repos.py,Python,.py,81,1,2885
scripts\translate.py,Python,.py,486,23,17425
scripts\translation_fixer.py,Python,.py,133,6,3444
scripts\translation_git.py,Python,.py,47,2,1361
tests\forward_reference_type.py,Python,.py,9,1,205
tests\main.py,Python,.py,208,38,4766
tests\test_additional_properties.py,Python,.py,114,3,4352
tests\test_additional_properties_bool.py,Python,.py,125,4,4476
tests\test_additional_responses_bad.py,Python,.py,40,2,1157
tests\test_additional_responses_custom_model_in_callback.py,Python,.py,147,3,6175
tests\test_additional_responses_custom_validationerror.py,Python,.py,100,2,3353
tests\test_additional_responses_default_validationerror.py,Python,.py,91,2,3500
tests\test_additional_responses_response_class.py,Python,.py,117,3,4004
tests\test_additional_responses_router.py,Python,.py,182,9,5886
tests\test_additional_responses_union_duplicate_anyof.py,Python,.py,124,3,4529
tests\test_additional_response_extra.py,Python,.py,52,3,1388
tests\test_allow_inf_nan_in_enforcing.py,Python,.py,84,5,1907
tests\test_ambiguous_params.py,Python,.py,74,8,2146
tests\test_annotated.py,Python,.py,298,10,11023
tests\test_application.py,Python,.py,1285,6,59581
tests\test_arbitrary_types.py,Python,.py,135,7,4021
