selected_token,nearest_rank,nearest_token,cosine_similarity
.,1,pytest,0.23005242156407482
.,2,_,0.1938203986679062
.,3,with,0.14048325570751194
.,4,""",",0.1400589864591974
.,5,3,0.1263070576476427
/,1,`,0.22535411944691108
/,2,""":",0.1798055465425429
/,3,def,0.14313098559189347
/,4,pytest,0.11867592588477606
/,5,#,0.10507488815451065
`,1,/,0.22535411944691108
`,2,def,0.14778895509145118
`,3,-,0.14037407915379044
`,4,np,0.1106949021999608
`,5,{,0.10748935528863628
None,1,0,0.1739906058102963
None,2,(,0.12377399312647912
None,3,""":",0.12350599788760813
None,4,a,0.1204830885740189
None,5,==,0.1112054474309642
*,1,==,0.17292115540809788
*,2,"""""""",0.17092358058882356
*,3,{,0.15413989310758186
*,4,X,0.14632945158486912
*,5,for,0.13469037270594275
