token,frequency,average_cosine_similarity
.,356320,0.015345247545158945
",",228221,0.023234703871626735
(,181852,0.02235997902786992
=,166889,-0.030701365874090315
),125709,5.757865235492181e-05
-,118845,-0.017081826779153764
"""",117831,-0.012607322981200295
:,115473,-0.028515929219823478
the,67124,0.019204235031327583
#,61521,0.010294195071975496
/,60936,-0.024462570536656958
0,60399,0.0008803057169314317
1,56395,-0.012597081186580589
[,54596,-0.011634853253220652
""",",50988,-0.00922855617809256
""":",47263,0.026540155501259936
in,44284,-0.00922375289762521
to,43932,-0.01647983791444302
of,37333,0.031325187730114834
for,36949,-0.013540427437876954
`,36275,-0.0162263873345923
_,34725,-0.005341220474777405
X,32640,-0.0005736891517330352
self,32548,-0.0026775987992638233
a,31330,0.02338539233736995
from,30886,-0.021947893634279535
is,30537,0.02082891344470147
2,30149,0.008620462548471292
def,29888,0.017776347796796724
],27935,0.002503274177613504
None,27394,-0.00919882075415551
and,26631,0.0020604597761238633
):,25734,0.012729679452805252
',25244,0.006239904998589937
s,23484,-0.016656954125637283
np,22414,0.0009482329364499369
if,22322,0.004673104774513307
@,22314,-0.005369484053597433
assert,21925,0.004464669751800088
import,21777,0.012615250550236963
*,21476,0.0020449157433445457
{,20952,0.026073847382476232
pytest,20344,0.013568790109069093
"""""""",20067,0.0032761964413450142
==,19796,-0.0024786216994187884
y,19773,-0.019450725258803897
3,19120,0.014809332473692973
(#,18875,0.004858483620920014
with,18610,0.01444565500004329
(),17718,0.010757909290182277
