token_a,token_b,similarity_before,similarity_after,change
"""",""":",0.04183265662760731,0.6966031128668035,0.6547704562391963
from,import,-0.10613226727248187,0.5249221512623579,0.6310544185348397
""",",""":",-0.03200265394637854,0.5168989900700147,0.5489016440163933
""":",{,0.1453681118911837,0.6915626718138612,0.5461945599226775
.,np,-0.1620241421976202,0.3746311282501559,0.5366552704477761
"""",{,0.05020986540079308,0.5746460815550501,0.5244362161542571
assert,==,-0.06331016031747706,0.4219361055918072,0.48524626590928427
),(#,-0.12870614887988377,0.3506937591565894,0.47939990803647314
(,):,-0.14100105271513727,0.3358844688253873,0.47688552154052455
.,@,0.00930222533900179,0.48544726759932566,0.4761450422603239
