token_1,token_2,cosine_similarity
exception,OPTIONS,0.5070925951004028
function,OPTIONS,0.3651483654975891
function,exception,0.30860671401023865
class,assert,0.28867512941360474
import,def,0.0
import,from,0.0
import,assert,0.0
import,error,0.0
import,exception,0.0
import,script,0.0
import,OPTIONS,0.0
import,return,0.0
import,function,0.0
import,class,0.0
import,buil,0.0
import,attempt,0.0
import,RidgeCV,0.0
import,verse,0.0
import,Model,0.0
from,class,0.0
from,def,0.0
from,return,0.0
from,function,0.0
from,test,0.0
from,assert,0.0
from,error,0.0
from,exception,0.0
import,Checking,0.0
import,wait,0.0
import,test,0.0
from,Checking,0.0
from,wait,0.0
from,buil,0.0
from,comm,0.0
from,RidgeCV,0.0
from,verse,0.0
from,Model,0.0
from,attempt,0.0
class,def,0.0
class,return,0.0
class,function,0.0
class,test,0.0
class,error,0.0
class,exception,0.0
class,script,0.0
class,OPTIONS,0.0
class,Checking,0.0
class,wait,0.0
class,comm,0.0
class,buil,0.0
class,attempt,0.0
class,RidgeCV,0.0
class,verse,0.0
class,Model,0.0
def,return,0.0
def,function,0.0
def,test,0.0
def,assert,0.0
def,error,0.0
from,script,0.0
from,OPTIONS,0.0
import,comm,0.0
def,OPTIONS,0.0
def,script,0.0
def,exception,0.0
def,Checking,0.0
def,attempt,0.0
def,RidgeCV,0.0
def,comm,0.0
def,wait,0.0
return,function,0.0
return,test,0.0
return,assert,0.0
return,error,0.0
return,exception,0.0
return,script,0.0
def,verse,0.0
def,buil,0.0
return,Checking,0.0
return,OPTIONS,0.0
return,wait,0.0
return,comm,0.0
return,RidgeCV,0.0
return,verse,0.0
return,buil,0.0
return,attempt,0.0
function,test,0.0
return,Model,0.0
function,error,0.0
function,assert,0.0
function,script,0.0
function,Checking,0.0
function,wait,0.0
def,Model,0.0
function,buil,0.0
function,attempt,0.0
function,RidgeCV,0.0
function,verse,0.0
function,Model,0.0
test,assert,0.0
test,error,0.0
test,exception,0.0
test,script,0.0
test,OPTIONS,0.0
test,Checking,0.0
test,wait,0.0
test,comm,0.0
test,buil,0.0
test,attempt,0.0
test,RidgeCV,0.0
test,verse,0.0
test,Model,0.0
assert,error,0.0
assert,exception,0.0
assert,script,0.0
assert,OPTIONS,0.0
assert,Checking,0.0
assert,wait,0.0
assert,comm,0.0
assert,buil,0.0
assert,attempt,0.0
assert,RidgeCV,0.0
assert,verse,0.0
assert,Model,0.0
error,exception,0.0
function,comm,0.0
error,script,0.0
error,OPTIONS,0.0
error,wait,0.0
error,Checking,0.0
error,buil,0.0
error,attempt,0.0
error,RidgeCV,0.0
error,comm,0.0
error,verse,0.0
error,Model,0.0
exception,script,0.0
exception,Checking,0.0
exception,wait,0.0
exception,comm,0.0
exception,buil,0.0
exception,attempt,0.0
exception,RidgeCV,0.0
exception,verse,0.0
exception,Model,0.0
script,OPTIONS,0.0
script,Checking,0.0
script,wait,0.0
script,comm,0.0
script,buil,0.0
script,attempt,0.0
script,RidgeCV,0.0
script,verse,0.0
script,Model,0.0
OPTIONS,Checking,0.0
OPTIONS,wait,0.0
OPTIONS,comm,0.0
OPTIONS,buil,0.0
OPTIONS,attempt,0.0
OPTIONS,RidgeCV,0.0
OPTIONS,verse,0.0
OPTIONS,Model,0.0
Checking,wait,0.0
Checking,comm,0.0
Checking,buil,0.0
Checking,attempt,0.0
Checking,RidgeCV,0.0
Checking,verse,0.0
Checking,Model,0.0
wait,comm,0.0
wait,buil,0.0
wait,attempt,0.0
wait,RidgeCV,0.0
wait,verse,0.0
wait,Model,0.0
comm,buil,0.0
comm,attempt,0.0
comm,RidgeCV,0.0
comm,verse,0.0
comm,Model,0.0
buil,attempt,0.0
buil,RidgeCV,0.0
buil,verse,0.0
buil,Model,0.0
attempt,RidgeCV,0.0
attempt,verse,0.0
attempt,Model,0.0
RidgeCV,verse,0.0
RidgeCV,Model,0.0
verse,Model,0.0
